Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,VIX,VIX_MA20,VIX_Ratio,VIX_Change_10D,VIX_Zscore,SPY,SPY_MA200,SPY_Trend,SPY_Return_20D,TNX,TNX_MA50,TNX_Change,IRX,MA20,MA60,52W_High,52W_Low,Position_52W
2011-05-10,XQQ.TO,7.102718830108643,7.1203789710998535,7.0956549644470215,7.1203789710998535,6.488968372344971,4813,0.0,0.0,15.90999984741211,,,,,135.8699951171875,,,,3.194999933242798,,,0.02500000037252903,,,,,
2011-05-11,XQQ.TO,7.127442836761475,7.127442836761475,7.042675971984863,7.053271770477295,6.427811145782471,5379,0.0,0.0,16.950000762939453,,,,,134.44000244140625,,,,3.1570000648498535,,,0.019999999552965164,,,,,
2011-05-12,XQQ.TO,7.053271770477295,7.053271770477295,7.053271770477295,7.053271770477295,6.427811145782471,1416,0.0,0.0,16.030000686645508,,,,,135.0800018310547,,,,3.2300000190734863,,,0.019999999552965164,,,,,
2011-05-13,XQQ.TO,7.092123031616211,7.092123031616211,7.046207904815674,7.046207904815674,6.421374797821045,5379,0.0,0.0,17.06999969482422,,,,,134.0399932861328,,,,3.187000036239624,,,0.019999999552965164,,,,,
2011-05-16,XQQ.TO,6.989696979522705,6.989696979522705,6.975570201873779,6.975570201873779,6.357000350952148,2548,0.0,0.0,18.239999771118164,,,,,133.19000244140625,,,,3.1489999294281006,,,0.019999999552965164,,,,,
2011-05-17,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,1699,0.0,0.0,17.549999237060547,,,,,133.1699981689453,,,,3.121000051498413,,,0.03500000014901161,,,,,
2011-05-18,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,0,0.0,0.0,16.229999542236328,,,,,134.36000061035156,,,,3.1710000038146973,,,0.03999999910593033,,,,,
2011-05-19,XQQ.TO,6.975570201873779,6.975570201873779,6.975570201873779,6.975570201873779,6.357000350952148,566,0.0,0.0,15.520000457763672,,,,,134.67999267578125,,,,3.1710000038146973,,,0.03999999910593033,,,,,
2011-05-20,XQQ.TO,6.993228912353516,6.993228912353516,6.950846195220947,6.950846195220947,6.334469318389893,5946,0.0,0.0,17.43000030517578,,,,,133.61000061035156,,,,3.1519999504089355,,,0.03999999910593033,,,,,
2011-05-24,XQQ.TO,6.883738994598389,6.883738994598389,6.82722806930542,6.82722806930542,6.221813201904297,3681,0.0,0.0,17.81999969482422,,,,,131.9499969482422,,,,3.122999906539917,,,0.05000000074505806,,,,,
2011-05-25,XQQ.TO,6.82722806930542,6.82722806930542,6.82722806930542,6.82722806930542,6.221813201904297,0,0.0,0.0,17.06999969482422,,,0.07291011053031493,,132.38999938964844,,,,3.128999948501587,,,0.04500000178813934,,,,,
2011-05-26,XQQ.TO,6.851952075958252,6.851952075958252,6.851952075958252,6.851952075958252,6.2443437576293945,1416,0.0,0.0,16.09000015258789,,,-0.05073749685203088,,133.0,,,,3.061000108718872,,,0.04500000178813934,,,,,
2011-05-27,XQQ.TO,6.897867202758789,6.911994934082031,6.897867202758789,6.908463001251221,6.295844554901123,4530,0.0,0.0,15.979999542236328,,,-0.003119222848869563,,133.50999450683594,,,,3.063999891281128,,,0.03500000014901161,,,,,
2011-05-30,XQQ.TO,6.919058799743652,6.919058799743652,6.919058799743652,6.919058799743652,6.305500030517578,1133,0.0,0.0,15.979999542236328,,,-0.0638547259563449,,133.50999450683594,,,,3.063999891281128,,,0.03500000014901161,,,,,
