Feature,Average_Importance
Return_20D,219.64
VIX_Zscore,189.88
Inflation_Surprise_60D_Sum,181.64
Price_vs_MA120,176.24
DXY_Trend,168.44
HYG_IEF_Ratio,164.24
Yield_Spread,159.2
XQQ_Vol_Regime,141.12
Inflation_Surprise_Mean_Event,104.12
Inflation_Strongest_Event_Surprise,90.2
