Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,VIX,VIX_MA20,VIX_Ratio,MA20,MA60,52W_High,52W_Low,Position_52W
2011-05-10,XQQ.TO,7.102718830108643,7.1203789710998535,7.0956549644470215,7.1203789710998535,6.488969326019287,4813,0.0,0.0,15.90999984741211,,,,,,,
2011-05-11,XQQ.TO,7.127442836761475,7.127442836761475,7.042675971984863,7.053271770477295,6.427812576293945,5379,0.0,0.0,16.950000762939453,,,,,,,
2011-05-12,XQQ.TO,7.053271770477295,7.053271770477295,7.053271770477295,7.053271770477295,6.427812576293945,1416,0.0,0.0,16.030000686645508,,,,,,,
2011-05-13,XQQ.TO,7.092123031616211,7.092123031616211,7.046207904815674,7.046207904815674,6.4213738441467285,5379,0.0,0.0,17.06999969482422,,,,,,,
2011-05-16,XQQ.TO,6.989696979522705,6.989696979522705,6.975570201873779,6.975570201873779,6.35699987411499,2548,0.0,0.0,18.239999771118164,,,,,,,
2011-05-17,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273313045501709,1699,0.0,0.0,17.549999237060547,,,,,,,
2011-05-18,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273313045501709,0,0.0,0.0,16.229999542236328,,,,,,,
2011-05-19,XQQ.TO,6.975570201873779,6.975570201873779,6.975570201873779,6.975570201873779,6.35699987411499,566,0.0,0.0,15.520000457763672,,,,,,,
2011-05-20,XQQ.TO,6.993228912353516,6.993228912353516,6.950846195220947,6.950846195220947,6.334469318389893,5946,0.0,0.0,17.43000030517578,,,,,,,
2011-05-24,XQQ.TO,6.883738994598389,6.883738994598389,6.82722806930542,6.82722806930542,6.221812725067139,3681,0.0,0.0,17.81999969482422,,,,,,,
2011-05-25,XQQ.TO,6.82722806930542,6.82722806930542,6.82722806930542,6.82722806930542,6.221812725067139,0,0.0,0.0,17.06999969482422,,,,,,,
2011-05-26,XQQ.TO,6.851952075958252,6.851952075958252,6.851952075958252,6.851952075958252,6.244345664978027,1416,0.0,0.0,16.09000015258789,,,,,,,
2011-05-27,XQQ.TO,6.897867202758789,6.911994934082031,6.897867202758789,6.908463001251221,6.295844554901123,4530,0.0,0.0,15.979999542236328,,,,,,,
2011-05-30,XQQ.TO,6.919058799743652,6.919058799743652,6.919058799743652,6.919058799743652,6.305500030517578,1133,0.0,0.0,15.979999542236328,,,,,,,
2011-05-31,XQQ.TO,6.982633113861084,6.982633113861084,6.9649739265441895,6.9649739265441895,6.347344398498535,1699,0.0,0.0,15.449999809265137,,,,,,,
2011-06-01,XQQ.TO,6.97910213470459,6.97910213470459,6.97910213470459,6.97910213470459,6.3602190017700195,1982,0.0,0.0,18.299999237060547,,,,,,,
2011-06-02,XQQ.TO,6.876675128936768,6.887270927429199,6.869612216949463,6.880207061767578,6.270094394683838,7078,0.0,0.0,18.09000015258789,,,,,,,
2011-06-03,XQQ.TO,6.781312942504883,6.781312942504883,6.781312942504883,6.781312942504883,6.179969787597656,113252,0.0,0.0,17.950000762939453,,,,,,,
2011-06-06,XQQ.TO,6.802505016326904,6.802505016326904,6.767186164855957,6.774249076843262,6.173532485961914,20102,0.0,0.0,18.489999771118164,,,,,,,
2011-06-07,XQQ.TO,6.728333950042725,6.731865882873535,6.717738151550293,6.717738151550293,6.122032642364502,4247,0.0,0.0,18.06999969482422,17.01099991798401,1.0622538229349257,6.918705415725708,,,,
2011-06-08,XQQ.TO,6.685951232910156,6.685951232910156,6.64709997177124,6.668291091918945,6.076971054077148,13024,0.0,0.0,18.790000915527344,17.15499997138977,1.0953075457222001,6.896101021766663,,,,
2011-06-09,XQQ.TO,6.668291091918945,6.668291091918945,6.668291091918945,6.668291091918945,6.076971054077148,0,0.0,0.0,17.770000457763672,17.195999956130983,1.0333798850370453,6.876851987838745,,,,
2011-06-10,XQQ.TO,6.597652912139893,6.601184844970703,6.587057113647461,6.587057113647461,6.0029401779174805,3964,0.0,0.0,18.860000610351562,17.337499952316286,1.0878154671793883,6.853541254997253,,,,
2011-06-13,XQQ.TO,6.594120979309082,6.594120979309082,6.594120979309082,6.594120979309082,6.0093770027160645,1416,0.0,0.0,19.610000610351562,17.464499998092652,1.1228492434649275,6.830936908721924,,,,
2011-06-14,XQQ.TO,6.671823024749756,6.671823024749756,6.671823024749756,6.671823024749756,6.080189228057861,14440,0.0,0.0,18.260000228881836,17.465500020980834,1.045489691503054,6.815749549865723,,,,
2011-06-15,XQQ.TO,6.622375965118408,6.622375965118408,6.548205852508545,6.548205852508545,5.967533588409424,6512,0.0,0.0,21.31999969482422,17.65400004386902,1.2076583007729373,6.79897289276123,,,,
2011-06-16,XQQ.TO,6.523481845855713,6.534078121185303,6.523481845855713,6.534078121185303,5.954659461975098,2831,0.0,0.0,22.729999542236328,17.979000043869018,1.264252710761155,6.781489849090576,,,,
2011-06-17,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954659461975098,0,0.0,0.0,21.850000381469727,18.29550004005432,1.1942827653594348,6.759415245056152,,,,
2011-06-20,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954659461975098,0,0.0,0.0,19.989999771118164,18.42350001335144,1.0850272617380785,6.73857684135437,,,,
2011-06-21,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954659461975098,0,0.0,0.0,18.860000610351562,18.475500059127807,1.0208113745226501,6.723919343948364,,,,
2011-06-22,XQQ.TO,6.650631904602051,6.664759159088135,6.650631904602051,6.661227226257324,6.070532321929932,5096,0.0,0.0,18.520000457763672,18.54800009727478,0.9984904227213574,6.715619301795959,,,,
2011-06-23,XQQ.TO,6.534078121185303,6.629439830780029,6.519949913024902,6.625907897949219,6.038345813751221,44168,0.0,0.0,19.290000915527344,18.708000135421752,1.0311097271698022,6.704317092895508,,,,
2011-06-24,XQQ.TO,6.625907897949219,6.625907897949219,6.625907897949219,6.625907897949219,6.047370910644531,0,0.009889,0.0,21.100000381469727,18.964000177383422,1.1126344750109056,6.690189337730407,,,,
2011-06-27,XQQ.TO,6.675354957580566,6.675354957580566,6.675354957580566,6.675354957580566,6.092500686645508,1416,0.0,0.0,20.559999465942383,19.193000173568727,1.07122384619452,6.678004145622253,,,,
2011-06-28,XQQ.TO,6.675354957580566,6.675354957580566,6.675354957580566,6.675354957580566,6.092500686645508,0,0.0,0.0,19.170000076293945,19.379000186920166,0.989215124175122,6.663523197174072,,,,
2011-06-29,XQQ.TO,6.788376808166504,6.788376808166504,6.7459940910339355,6.7459940910339355,6.1569719314575195,12458,0.0,0.0,17.270000457763672,19.32750024795532,0.8935454785256405,6.651867794990539,,,,
2011-06-30,XQQ.TO,6.820165157318115,6.841355800628662,6.820165157318115,6.841355800628662,6.2440080642700195,1133,0.0,0.0,16.520000457763672,19.24900026321411,0.8582264134171318,6.649925231933594,,,,
2011-07-04,XQQ.TO,6.841355800628662,6.841355800628662,6.841355800628662,6.841355800628662,6.2440080642700195,0,0.0,0.0,16.520000457763672,19.177500247955322,0.8614261631687379,6.652927374839782,,,,
2011-07-05,XQQ.TO,6.982633113861084,7.010889053344727,6.97910213470459,7.010889053344727,6.39873743057251,43036,0.0,0.0,16.059999465942383,19.056000232696533,0.8427791388450147,6.664759373664856,,,,
2011-07-06,XQQ.TO,7.000292778015137,7.0285491943359375,7.000292778015137,7.0285491943359375,6.414855003356934,2548,0.0,0.0,16.34000015258789,18.969500255584716,0.8613827424250311,6.680299925804138,,,,
2011-07-07,XQQ.TO,7.0285491943359375,7.0285491943359375,7.0285491943359375,7.0285491943359375,6.414855003356934,0,0.0,0.0,15.949999809265137,18.827500200271608,0.8471650319799248,6.698312830924988,,,,
2011-07-08,XQQ.TO,7.063868045806885,7.092123031616211,7.063868045806885,7.081528186798096,6.46320915222168,28879,0.0,0.0,15.949999809265137,18.73650016784668,0.8512795701641549,6.718974685668945,,,,
2011-07-11,XQQ.TO,6.9861650466918945,6.9861650466918945,6.968505859375,6.968505859375,6.360055923461914,1699,0.0,0.0,18.389999389648438,18.713000106811524,0.9827392339379342,6.738047122955322,,,,
2011-07-12,XQQ.TO,6.961441993713379,6.9649739265441895,6.961441993713379,6.9649739265441895,6.356832027435303,3398,0.0,0.0,19.8700008392334,18.726000118255616,1.0610915686079976,6.756589770317078,,,,
2011-07-13,XQQ.TO,6.9649739265441895,6.9649739265441895,6.9649739265441895,6.9649739265441895,6.356832027435303,0,0.0,0.0,19.90999984741211,18.80850009918213,1.0585639334567607,6.771247315406799,,,,
2011-07-14,XQQ.TO,6.993228912353516,6.993228912353516,6.876675128936768,6.887270927429199,6.285913944244385,3681,0.0,0.0,20.799999237060547,18.782500076293946,1.1074137709341982,6.788200569152832,,,,
2011-07-15,XQQ.TO,6.887270927429199,6.887270927429199,6.887270927429199,6.887270927429199,6.285913944244385,0,0.0,0.0,19.530000686645508,18.622500133514404,1.0487314026916237,6.805860209465027,,,,
2011-07-18,XQQ.TO,6.961441993713379,6.961441993713379,6.90493106842041,6.90493106842041,6.30203104019165,1699,0.0,0.0,20.950000762939453,18.57750015258789,1.1277082810316148,6.824402856826782,,,,
2011-07-19,XQQ.TO,7.042675971984863,7.053271770477295,7.042675971984863,7.053271770477295,6.43742036819458,5379,0.0,0.0,19.209999084472656,18.538500118255616,1.0362218605568736,6.850362539291382,,,,
2011-07-20,XQQ.TO,7.134507179260254,7.134507179260254,7.063868045806885,7.063868045806885,6.4470906257629395,12458,0.0,0.0,19.09000015258789,18.55000009536743,1.029110515064381,6.876852035522461,,,,
2011-07-21,XQQ.TO,7.070931911468506,7.1203789710998535,7.070931911468506,7.113315105438232,6.492219924926758,12458,0.0,0.0,17.559999465942383,18.502000045776366,0.9490865540210057,6.899456429481506,,,,
2011-07-22,XQQ.TO,7.134507179260254,7.134507179260254,7.134507179260254,7.134507179260254,6.511563777923584,566,0.0,0.0,17.520000457763672,18.413500022888183,0.9514758430491823,6.924886393547058,,,,
2011-07-25,XQQ.TO,7.169826030731201,7.169826030731201,7.169826030731201,7.169826030731201,6.543797969818115,2831,0.0,0.0,19.350000381469727,18.326000022888184,1.0558769157100634,6.952082300186158,,,,
2011-07-26,XQQ.TO,7.187486171722412,7.198081016540527,7.187486171722412,7.198081016540527,6.56958532333374,1416,0.0,0.0,20.229999542236328,18.30950002670288,1.1048908770164427,6.978218603134155,,,,
2011-07-27,XQQ.TO,7.063868045806885,7.063868045806885,7.046207904815674,7.046207904815674,6.430973529815674,5663,0.0,0.0,22.979999542236328,18.5,1.24216213741818,6.9967612504959105,,,,
2011-07-28,XQQ.TO,7.007357120513916,7.0285491943359375,7.007357120513916,7.0285491943359375,6.414855003356934,3114,0.0,0.0,23.739999771118164,18.823499965667725,1.261189460749471,7.010889005661011,,,,
2011-07-29,XQQ.TO,7.0285491943359375,7.0285491943359375,7.0285491943359375,7.0285491943359375,6.414855003356934,0,0.0,0.0,25.25,19.25999994277954,1.3110072728461286,7.020248675346375,,,,
2011-08-02,XQQ.TO,6.940249919891357,6.940249919891357,6.820165157318115,6.820165157318115,6.224667072296143,14723,0.0,0.0,24.790000915527344,19.673499965667723,1.2600707021520543,7.0191891431808475,,,,
2011-08-03,XQQ.TO,6.820165157318115,6.820165157318115,6.820165157318115,6.820165157318115,6.224667072296143,0,0.0,0.0,23.3799991607666,20.039499950408935,1.1666957368509336,7.009652948379516,,,,
2011-08-04,XQQ.TO,6.537610054016113,6.537610054016113,6.534078121185303,6.534078121185303,5.963560581207275,2831,0.0,0.0,31.65999984741211,20.805499935150145,1.5217130059885595,6.984929394721985,6.861311578750611,,,
2011-08-05,XQQ.TO,6.56939697265625,6.608248233795166,6.495226860046387,6.495226860046387,5.928100109100342,16705,0.0,0.0,32.0,21.60799994468689,1.4809329915732605,6.958263278007507,6.850892376899719,,,
2011-08-08,XQQ.TO,6.315097808837891,6.332757949829102,6.110246181488037,6.127904891967773,5.5928521156311035,18970,0.0,0.0,48.0,23.210499954223632,2.0680295596676883,6.910582113265991,6.835469595591227,,,
2011-08-09,XQQ.TO,6.198544025421143,6.2373948097229,6.007820129394531,6.170289039611816,5.631534576416016,282565,0.0,0.0,35.060001373291016,24.04400005340576,1.4581600938037294,6.870671272277832,6.820753216743469,,,
2011-08-10,XQQ.TO,6.272715091705322,6.272715091705322,6.180883884429932,6.180883884429932,5.6412034034729,12741,0.0,0.0,42.9900016784668,25.200000095367432,1.7059524411021625,6.831466770172119,6.80633114973704,,,
2011-08-11,XQQ.TO,6.23386287689209,6.350417137145996,6.23386287689209,6.350417137145996,5.795933723449707,1133,0.0,0.0,39.0,26.154500102996828,1.4911391862363033,6.8007389307022095,6.7959119319915775,,,
2011-08-12,XQQ.TO,6.4422478675842285,6.4422478675842285,6.4422478675842285,6.4422478675842285,5.879746913909912,3398,0.0,0.0,36.36000061035156,26.932500171661378,1.3500417851518252,6.778487777709961,6.788553746541341,,,
2011-08-15,XQQ.TO,6.498758792877197,6.502289772033691,6.470502853393555,6.470502853393555,5.905534267425537,11325,0.0,0.0,31.8700008392334,27.54950017929077,1.156826825598469,6.757649374008179,6.78166647752126,,,
2011-08-16,XQQ.TO,6.4810991287231445,6.4810991287231445,6.4175238609313965,6.4175238609313965,5.857181549072266,19253,0.0,0.0,32.849998474121094,28.144500064849854,1.1671906908429337,6.733279013633728,6.772365705172221,,,
2011-08-17,XQQ.TO,6.484631061553955,6.484631061553955,6.4175238609313965,6.4175238609313965,5.857181549072266,11608,0.0,0.0,31.579999923706055,28.763000106811525,1.0979383168109582,6.7014916181564335,6.763476999600728,,,
2011-08-18,XQQ.TO,6.276247024536133,6.276247024536133,6.0607991218566895,6.0643310546875,5.5348286628723145,30295,0.0,0.0,42.66999816894531,29.942000007629396,1.425088442925414,6.651514768600464,6.750762049357096,,,
2011-08-19,XQQ.TO,6.05373477935791,6.156160831451416,6.004288196563721,6.004288196563721,5.4800262451171875,12458,0.0,0.0,43.04999923706055,31.216499996185302,1.3790783477430626,6.596063423156738,6.737046384811402,,,
2011-08-22,XQQ.TO,6.159692764282227,6.159692764282227,6.0431389808654785,6.0431389808654785,5.515485763549805,9343,0.0,0.0,42.439998626708984,32.462499904632566,1.307354601505985,6.541495013236999,6.723566166559855,,,
2011-08-23,XQQ.TO,6.0431389808654785,6.0431389808654785,6.0431389808654785,6.0431389808654785,5.515485763549805,0,0.0,0.0,36.27000045776367,33.30849990844727,1.088911255609123,6.485160660743714,6.709144099553426,,,
2011-08-24,XQQ.TO,6.315097808837891,6.3256940841674805,6.315097808837891,6.3256940841674805,5.773369789123535,4247,0.0,0.0,35.900001525878906,34.092000007629395,1.0530330141336648,6.441541314125061,6.699254687627157,,,
2011-08-25,XQQ.TO,6.361012935638428,6.361012935638428,6.255054950714111,6.255054950714111,5.708898067474365,1133,0.0,0.0,39.7599983215332,34.93099994659424,1.1382439203664936,6.401983666419983,6.6874227046966555,,,
2011-08-26,XQQ.TO,6.187948226928711,6.396331787109375,6.187948226928711,6.396331787109375,5.837839603424072,33409,0.0,0.0,35.59000015258789,35.523499965667725,1.0018720054888859,6.370372796058655,6.677709865570068,,,
2011-08-29,XQQ.TO,6.530546188354492,6.576460838317871,6.519949913024902,6.576460838317871,6.0022406578063965,1416,0.0,0.0,32.279998779296875,35.87499990463257,0.8997909091319198,6.347768378257752,6.672647428512573,,,
2011-08-30,XQQ.TO,6.56939697265625,6.56939697265625,6.56939697265625,6.56939697265625,5.995795249938965,1416,0.0,0.0,32.88999938964844,36.279999828338624,0.9065600756689578,6.335229969024658,6.669115495681763,,,
2011-08-31,XQQ.TO,6.636504173278809,6.654163837432861,6.636504173278809,6.636504173278809,6.057041645050049,2265,0.0,0.0,31.6200008392334,36.69199991226196,0.8617682577903427,6.3260469198226925,6.666819747289022,,,
2011-09-01,XQQ.TO,6.668291091918945,6.675354957580566,6.625907897949219,6.625907897949219,6.047370910644531,108722,0.0,0.0,31.81999969482422,36.69999990463257,0.8670299666896631,6.330638408660889,6.665289243062337,,,
2011-09-02,XQQ.TO,6.484631061553955,6.484631061553955,6.484631061553955,6.484631061553955,5.918429851531982,849,0.0,0.0,33.91999816894531,36.79599981307983,0.9218392852825217,6.330108618736267,6.662228242556254,,,
2011-09-06,XQQ.TO,6.272715091705322,6.304502010345459,6.269183158874512,6.279778957366943,5.731464385986328,6512,0.0,0.0,37.0,36.245999813079834,1.0208023006899667,6.337702322006225,6.655753040313721,,,
