Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20080715,8:30am,USD,3,PPI m/m,1.8%,1.3%,1.4%,https://www.forexfactory.com/calendar?month=jul.2008
20080716,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2008
20080716,8:30am,USD,3,CPI y/y,5.0%,4.5%,4.2%,https://www.forexfactory.com/calendar?month=jul.2008
20080814,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=aug.2008
20080814,8:30am,USD,3,CPI y/y,5.6%,5.1%,5.0%,https://www.forexfactory.com/calendar?month=aug.2008
20080819,8:30am,USD,3,PPI m/m,1.2%,0.6%,1.8%,https://www.forexfactory.com/calendar?month=aug.2008
20080912,8:30am,USD,3,PPI m/m,-0.9%,-0.5%,1.2%,https://www.forexfactory.com/calendar?month=sep.2008
20080916,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=sep.2008
20080916,8:30am,USD,3,CPI y/y,5.4%,5.6%,5.6%,https://www.forexfactory.com/calendar?month=sep.2008
20081015,8:30am,USD,3,PPI m/m,-0.4%,-0.4%,-0.9%,https://www.forexfactory.com/calendar?month=oct.2008
20081016,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=oct.2008
20081016,8:30am,USD,3,CPI y/y,4.9%,5.0%,5.4%,https://www.forexfactory.com/calendar?month=oct.2008
20081118,8:30am,USD,3,PPI m/m,-2.8%,-1.9%,-0.4%,https://www.forexfactory.com/calendar?month=nov.2008
20081119,8:30am,USD,3,Core CPI m/m,-0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=nov.2008
20081119,8:30am,USD,3,CPI y/y,3.7%,4.0%,4.9%,https://www.forexfactory.com/calendar?month=nov.2008
20081212,8:30am,USD,3,PPI m/m,-2.2%,-2.0%,-2.8%,https://www.forexfactory.com/calendar?month=dec.2008
20081216,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,-0.1%,https://www.forexfactory.com/calendar?month=dec.2008
20081216,8:30am,USD,3,CPI y/y,1.1%,1.5%,3.7%,https://www.forexfactory.com/calendar?month=dec.2008
20090115,8:30am,USD,3,PPI m/m,-1.9%,-2.0%,-2.2%,https://www.forexfactory.com/calendar?month=jan.2009
20090116,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=jan.2009
20090116,8:30am,USD,3,CPI y/y,0.1%,-0.2%,1.1%,https://www.forexfactory.com/calendar?month=jan.2009
20090219,8:30am,USD,3,PPI m/m,0.8%,0.2%,-1.9%,https://www.forexfactory.com/calendar?month=feb.2009
20090220,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=feb.2009
20090220,8:30am,USD,3,CPI y/y,0.0%,-0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2009
20090317,8:30am,USD,3,PPI m/m,0.1%,0.3%,0.8%,https://www.forexfactory.com/calendar?month=mar.2009
20090318,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=mar.2009
20090318,8:30am,USD,3,CPI y/y,0.2%,0.0%,0.0%,https://www.forexfactory.com/calendar?month=mar.2009
20090414,8:30am,USD,3,PPI m/m,-1.2%,0.0%,0.1%,https://www.forexfactory.com/calendar?month=apr.2009
20090415,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=apr.2009
20090415,8:30am,USD,3,CPI y/y,-0.4%,-0.1%,0.2%,https://www.forexfactory.com/calendar?month=apr.2009
20090514,8:30am,USD,3,PPI m/m,0.3%,0.2%,-1.2%,https://www.forexfactory.com/calendar?month=may.2009
20090515,8:30am,USD,3,Core CPI m/m,0.3%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=may.2009
20090515,8:30am,USD,3,CPI y/y,-0.7%,-0.6%,-0.4%,https://www.forexfactory.com/calendar?month=may.2009
20090616,8:30am,USD,3,PPI m/m,0.2%,0.6%,0.3%,https://www.forexfactory.com/calendar?month=jun.2009
20090617,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.3%,https://www.forexfactory.com/calendar?month=jun.2009
20090617,8:30am,USD,3,CPI y/y,-1.3%,-0.9%,-0.7%,https://www.forexfactory.com/calendar?month=jun.2009
20090714,8:30am,USD,3,PPI m/m,1.8%,0.9%,0.2%,https://www.forexfactory.com/calendar?month=jul.2009
20090715,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jul.2009
20090715,8:30am,USD,3,CPI y/y,-1.4%,-1.4%,-1.3%,https://www.forexfactory.com/calendar?month=jul.2009
20090814,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=aug.2009
20090814,8:30am,USD,3,CPI y/y,-2.1%,-1.9%,-1.4%,https://www.forexfactory.com/calendar?month=aug.2009
20090818,8:30am,USD,3,PPI m/m,-0.9%,-0.2%,1.8%,https://www.forexfactory.com/calendar?month=aug.2009
20090915,8:30am,USD,3,PPI m/m,1.7%,0.9%,-0.9%,https://www.forexfactory.com/calendar?month=sep.2009
20090916,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=sep.2009
20090916,8:30am,USD,3,CPI y/y,-1.5%,-1.7%,-2.1%,https://www.forexfactory.com/calendar?month=sep.2009
20091015,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=oct.2009
20091015,8:30am,USD,3,CPI y/y,-1.3%,-1.4%,-1.5%,https://www.forexfactory.com/calendar?month=oct.2009
