Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20130315,8:30am,USD,3,CPI y/y,2.0%,1.9%,1.6%,https://www.forexfactory.com/calendar?month=mar.2013
20130412,8:30am,USD,3,PPI m/m,-0.6%,-0.2%,0.7%,https://www.forexfactory.com/calendar?month=apr.2013
20130416,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2013
20130416,8:30am,USD,3,CPI y/y,1.5%,1.7%,2.0%,https://www.forexfactory.com/calendar?month=apr.2013
20130515,8:30am,USD,3,PPI m/m,-0.7%,-0.6%,-0.6%,https://www.forexfactory.com/calendar?month=may.2013
20130516,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=may.2013
20130516,8:30am,USD,3,CPI y/y,1.1%,1.3%,1.5%,https://www.forexfactory.com/calendar?month=may.2013
20130614,8:30am,USD,3,PPI m/m,0.5%,0.1%,-0.7%,https://www.forexfactory.com/calendar?month=jun.2013
20130618,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jun.2013
20130618,8:30am,USD,3,CPI y/y,1.4%,1.4%,1.1%,https://www.forexfactory.com/calendar?month=jun.2013
20130712,8:30am,USD,3,PPI m/m,0.8%,0.5%,0.5%,https://www.forexfactory.com/calendar?month=jul.2013
20130716,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2013
20130716,8:30am,USD,3,CPI y/y,1.8%,1.6%,1.4%,https://www.forexfactory.com/calendar?month=jul.2013
20130814,8:30am,USD,3,PPI m/m,0.0%,0.4%,0.8%,https://www.forexfactory.com/calendar?month=aug.2013
20130815,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=aug.2013
20130815,8:30am,USD,3,CPI y/y,2.0%,2.0%,1.8%,https://www.forexfactory.com/calendar?month=aug.2013
20130913,8:30am,USD,3,PPI m/m,0.3%,0.2%,0.0%,https://www.forexfactory.com/calendar?month=sep.2013
20130917,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=sep.2013
20130917,8:30am,USD,3,CPI y/y,1.5%,1.6%,2.0%,https://www.forexfactory.com/calendar?month=sep.2013
20131029,8:30am,USD,3,PPI m/m,-0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=oct.2013
20131030,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=oct.2013
20131030,8:30am,USD,3,CPI y/y,1.2%,1.2%,1.5%,https://www.forexfactory.com/calendar?month=oct.2013
20131120,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=nov.2013
20131120,8:30am,USD,3,CPI y/y,1.0%,1.0%,1.2%,https://www.forexfactory.com/calendar?month=nov.2013
20131121,8:30am,USD,3,PPI m/m,-0.2%,-0.2%,-0.1%,https://www.forexfactory.com/calendar?month=nov.2013
20131213,8:30am,USD,3,PPI m/m,-0.1%,0.0%,-0.2%,https://www.forexfactory.com/calendar?month=dec.2013
20131217,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=dec.2013
20131217,8:30am,USD,3,CPI y/y,1.2%,1.2%,1.0%,https://www.forexfactory.com/calendar?month=dec.2013
20140115,8:30am,USD,3,PPI m/m,0.4%,0.5%,-0.1%,https://www.forexfactory.com/calendar?month=jan.2014
20140116,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=jan.2014
20140116,8:30am,USD,3,CPI y/y,1.5%,1.5%,1.2%,https://www.forexfactory.com/calendar?month=jan.2014
20140219,8:30am,USD,3,PPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2014
20140220,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=feb.2014
20140220,8:30am,USD,3,CPI y/y,1.6%,1.6%,1.5%,https://www.forexfactory.com/calendar?month=feb.2014
20140314,8:30am,USD,3,PPI m/m,-0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=mar.2014
20140318,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=mar.2014
20140318,8:30am,USD,3,CPI y/y,1.1%,1.2%,1.6%,https://www.forexfactory.com/calendar?month=mar.2014
20140411,8:30am,USD,3,PPI m/m,0.5%,0.1%,-0.1%,https://www.forexfactory.com/calendar?month=apr.2014
20140415,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=apr.2014
20140415,8:30am,USD,3,CPI y/y,1.5%,1.5%,1.1%,https://www.forexfactory.com/calendar?month=apr.2014
20140514,8:30am,USD,3,PPI m/m,0.6%,0.2%,0.5%,https://www.forexfactory.com/calendar?month=may.2014
20140515,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=may.2014
20140515,8:30am,USD,3,CPI y/y,2.0%,2.0%,1.5%,https://www.forexfactory.com/calendar?month=may.2014
20140613,8:30am,USD,3,PPI m/m,-0.2%,0.1%,0.6%,https://www.forexfactory.com/calendar?month=jun.2014
20140617,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2014
20140617,8:30am,USD,3,CPI y/y,2.1%,2.0%,2.0%,https://www.forexfactory.com/calendar?month=jun.2014
20140716,8:30am,USD,3,PPI m/m,0.4%,0.2%,-0.2%,https://www.forexfactory.com/calendar?month=jul.2014
20140722,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=jul.2014
20140722,8:30am,USD,3,CPI y/y,2.1%,2.1%,2.1%,https://www.forexfactory.com/calendar?month=jul.2014
20140815,8:30am,USD,3,PPI m/m,0.1%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=aug.2014
20140819,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=aug.2014
20140819,8:30am,USD,3,CPI m/m,0.1%,0.1%,0.3%,https://www.forexfactory.com/calendar?month=aug.2014
20140819,8:30am,USD,3,CPI y/y,2.0%,2.0%,2.1%,https://www.forexfactory.com/calendar?month=aug.2014
20140916,8:30am,USD,3,PPI m/m,0.0%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=sep.2014
20140917,8:30am,USD,3,Core CPI m/m,0.0%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=sep.2014
20140917,8:30am,USD,3,CPI m/m,-0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=sep.2014
20140917,8:30am,USD,3,CPI y/y,1.7%,1.9%,2.0%,https://www.forexfactory.com/calendar?month=sep.2014
20141015,8:30am,USD,3,PPI m/m,-0.1%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=oct.2014
20141022,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.0%,https://www.forexfactory.com/calendar?month=oct.2014
20141022,8:30am,USD,3,CPI m/m,0.1%,0.0%,-0.2%,https://www.forexfactory.com/calendar?month=oct.2014
20141022,8:30am,USD,3,CPI y/y,1.7%,1.6%,1.7%,https://www.forexfactory.com/calendar?month=oct.2014
20141118,8:30am,USD,3,PPI m/m,0.2%,-0.1%,-0.1%,https://www.forexfactory.com/calendar?month=nov.2014
20141120,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=nov.2014
20141120,8:30am,USD,3,CPI m/m,0.0%,-0.1%,0.1%,https://www.forexfactory.com/calendar?month=nov.2014
20141120,8:30am,USD,3,CPI y/y,1.7%,1.6%,1.7%,https://www.forexfactory.com/calendar?month=nov.2014
20141212,8:30am,USD,3,PPI m/m,-0.2%,-0.1%,0.2%,https://www.forexfactory.com/calendar?month=dec.2014
20141217,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=dec.2014
20141217,8:30am,USD,3,CPI m/m,-0.3%,-0.1%,0.0%,https://www.forexfactory.com/calendar?month=dec.2014
20141217,8:30am,USD,3,CPI y/y,1.3%,1.4%,1.7%,https://www.forexfactory.com/calendar?month=dec.2014
20150115,8:30am,USD,3,PPI m/m,-0.3%,-0.3%,-0.2%,https://www.forexfactory.com/calendar?month=jan.2015
20150116,8:30am,USD,3,Core CPI m/m,0.0%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=jan.2015
20150116,8:30am,USD,3,CPI m/m,-0.4%,-0.3%,-0.3%,https://www.forexfactory.com/calendar?month=jan.2015
20150116,8:30am,USD,3,CPI y/y,0.8%,0.7%,1.3%,https://www.forexfactory.com/calendar?month=jan.2015
20150218,8:30am,USD,3,PPI m/m,-0.8%,-0.4%,-0.3%,https://www.forexfactory.com/calendar?month=feb.2015
20150226,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=feb.2015
20150226,8:30am,USD,3,CPI m/m,-0.7%,-0.6%,-0.4%,https://www.forexfactory.com/calendar?month=feb.2015
20150226,8:30am,USD,3,CPI y/y,-0.1%,-0.1%,0.8%,https://www.forexfactory.com/calendar?month=feb.2015
20150313,8:30am,USD,3,PPI m/m,-0.5%,0.2%,-0.8%,https://www.forexfactory.com/calendar?month=mar.2015
20150324,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=mar.2015
20150324,8:30am,USD,3,CPI m/m,0.2%,0.2%,-0.7%,https://www.forexfactory.com/calendar?month=mar.2015
20150324,8:30am,USD,3,CPI y/y,0.0%,-0.1%,-0.1%,https://www.forexfactory.com/calendar?month=mar.2015
20150414,8:30am,USD,3,PPI m/m,0.2%,0.3%,-0.5%,https://www.forexfactory.com/calendar?month=apr.2015
20150417,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2015
20150417,8:30am,USD,3,CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2015
20150417,8:30am,USD,3,CPI y/y,-0.1%,0.0%,-0.1%,https://www.forexfactory.com/calendar?month=apr.2015
20150514,8:30am,USD,3,PPI m/m,-0.4%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=may.2015
20150522,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=may.2015
20150522,8:30am,USD,3,CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=may.2015
20150522,8:30am,USD,3,CPI y/y,-0.2%,-0.2%,-0.1%,https://www.forexfactory.com/calendar?month=may.2015
20150612,8:30am,USD,3,PPI m/m,0.5%,0.4%,-0.4%,https://www.forexfactory.com/calendar?month=jun.2015
20150618,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=jun.2015
20150618,8:30am,USD,3,CPI m/m,0.4%,0.5%,0.1%,https://www.forexfactory.com/calendar?month=jun.2015
20150618,8:30am,USD,3,CPI y/y,0.0%,0.1%,-0.2%,https://www.forexfactory.com/calendar?month=jun.2015
20150715,8:30am,USD,3,PPI m/m,0.4%,0.2%,0.5%,https://www.forexfactory.com/calendar?month=jul.2015
20150717,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jul.2015
20150717,8:30am,USD,3,CPI m/m,0.3%,0.3%,0.4%,https://www.forexfactory.com/calendar?month=jul.2015
20150717,8:30am,USD,3,CPI y/y,0.1%,0.0%,0.0%,https://www.forexfactory.com/calendar?month=jul.2015
20150814,8:30am,USD,3,PPI m/m,0.2%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=aug.2015
20150819,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=aug.2015
20150819,8:30am,USD,3,CPI m/m,0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=aug.2015
20150819,8:30am,USD,3,CPI y/y,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=aug.2015
20150911,8:30am,USD,3,PPI m/m,0.0%,-0.1%,0.2%,https://www.forexfactory.com/calendar?month=sep.2015
20150916,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=sep.2015
20150916,8:30am,USD,3,CPI m/m,-0.1%,0.0%,0.1%,https://www.forexfactory.com/calendar?month=sep.2015
20150916,8:30am,USD,3,CPI y/y,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=sep.2015
20151014,8:30am,USD,3,PPI m/m,-0.5%,-0.2%,0.0%,https://www.forexfactory.com/calendar?month=oct.2015
20151015,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=oct.2015
20151015,8:30am,USD,3,CPI m/m,-0.2%,-0.2%,-0.1%,https://www.forexfactory.com/calendar?month=oct.2015
20151015,8:30am,USD,3,CPI y/y,0.0%,-0.1%,0.2%,https://www.forexfactory.com/calendar?month=oct.2015
20151113,8:30am,USD,3,PPI m/m,-0.4%,0.2%,-0.5%,https://www.forexfactory.com/calendar?month=nov.2015
20151117,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=nov.2015
20151117,8:30am,USD,3,CPI m/m,0.2%,0.2%,-0.2%,https://www.forexfactory.com/calendar?month=nov.2015
20151117,8:30am,USD,3,CPI y/y,0.2%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=nov.2015
20151211,8:30am,USD,3,PPI m/m,0.3%,0.0%,-0.4%,https://www.forexfactory.com/calendar?month=dec.2015
20151215,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=dec.2015
20151215,8:30am,USD,3,CPI m/m,0.0%,0.0%,0.2%,https://www.forexfactory.com/calendar?month=dec.2015
20151215,8:30am,USD,3,CPI y/y,0.5%,0.5%,0.2%,https://www.forexfactory.com/calendar?month=dec.2015
20160115,8:30am,USD,3,PPI m/m,-0.2%,-0.2%,0.3%,https://www.forexfactory.com/calendar?month=jan.2016
20160120,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jan.2016
20160120,8:30am,USD,3,CPI m/m,-0.1%,0.0%,0.0%,https://www.forexfactory.com/calendar?month=jan.2016
20160120,8:30am,USD,3,CPI y/y,0.7%,0.8%,0.5%,https://www.forexfactory.com/calendar?month=jan.2016
20160217,8:30am,USD,3,PPI m/m,0.1%,-0.2%,-0.2%,https://www.forexfactory.com/calendar?month=feb.2016
20160219,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2016
20160219,8:30am,USD,3,CPI m/m,0.0%,-0.1%,-0.1%,https://www.forexfactory.com/calendar?month=feb.2016
20160219,8:30am,USD,3,CPI y/y,1.4%,1.3%,0.7%,https://www.forexfactory.com/calendar?month=feb.2016
20160315,8:30am,USD,3,PPI m/m,-0.2%,-0.2%,0.1%,https://www.forexfactory.com/calendar?month=mar.2016
20160316,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=mar.2016
20160316,8:30am,USD,3,CPI m/m,-0.2%,-0.2%,0.0%,https://www.forexfactory.com/calendar?month=mar.2016
20160316,8:30am,USD,3,CPI y/y,1.0%,0.9%,1.4%,https://www.forexfactory.com/calendar?month=mar.2016
20160413,8:30am,USD,3,PPI m/m,-0.1%,0.3%,-0.2%,https://www.forexfactory.com/calendar?month=apr.2016
20160414,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=apr.2016
20160414,8:30am,USD,3,CPI m/m,0.1%,0.2%,-0.2%,https://www.forexfactory.com/calendar?month=apr.2016
20160414,8:30am,USD,3,CPI y/y,0.9%,1.1%,1.0%,https://www.forexfactory.com/calendar?month=apr.2016
20160513,8:30am,USD,3,PPI m/m,0.2%,0.3%,-0.1%,https://www.forexfactory.com/calendar?month=may.2016
20160517,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=may.2016
20160517,8:30am,USD,3,CPI m/m,0.4%,0.3%,0.1%,https://www.forexfactory.com/calendar?month=may.2016
20160517,8:30am,USD,3,CPI y/y,1.1%,1.0%,0.9%,https://www.forexfactory.com/calendar?month=may.2016
20160615,8:30am,USD,3,PPI m/m,0.4%,0.3%,0.2%,https://www.forexfactory.com/calendar?month=jun.2016
20160616,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2016
20160616,8:30am,USD,3,CPI m/m,0.2%,0.3%,0.4%,https://www.forexfactory.com/calendar?month=jun.2016
20160616,8:30am,USD,3,CPI y/y,1.0%,1.0%,1.1%,https://www.forexfactory.com/calendar?month=jun.2016
20160714,8:30am,USD,3,PPI m/m,0.5%,0.3%,0.4%,https://www.forexfactory.com/calendar?month=jul.2016
20160715,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2016
20160715,8:30am,USD,3,CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2016
20160715,8:30am,USD,3,CPI y/y,1.0%,1.1%,1.0%,https://www.forexfactory.com/calendar?month=jul.2016
20160812,8:30am,USD,3,PPI m/m,-0.4%,0.1%,0.5%,https://www.forexfactory.com/calendar?month=aug.2016
20160816,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=aug.2016
20160816,8:30am,USD,3,CPI m/m,0.0%,0.0%,0.2%,https://www.forexfactory.com/calendar?month=aug.2016
20160816,8:30am,USD,3,CPI y/y,0.8%,0.9%,1.0%,https://www.forexfactory.com/calendar?month=aug.2016
20160915,8:30am,USD,3,PPI m/m,0.0%,0.1%,-0.4%,https://www.forexfactory.com/calendar?month=sep.2016
20160916,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=sep.2016
20160916,8:30am,USD,3,CPI m/m,0.2%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=sep.2016
20160916,8:30am,USD,3,CPI y/y,1.1%,1.0%,0.8%,https://www.forexfactory.com/calendar?month=sep.2016
20161014,8:30am,USD,3,PPI m/m,0.3%,0.2%,0.0%,https://www.forexfactory.com/calendar?month=oct.2016
20161018,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=oct.2016
20161018,8:30am,USD,3,CPI m/m,0.3%,0.3%,0.2%,https://www.forexfactory.com/calendar?month=oct.2016
20161018,8:30am,USD,3,CPI y/y,1.5%,1.5%,1.1%,https://www.forexfactory.com/calendar?month=oct.2016
20161116,8:30am,USD,3,PPI m/m,0.0%,0.3%,0.3%,https://www.forexfactory.com/calendar?month=nov.2016
20161117,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=nov.2016
20161117,8:30am,USD,3,CPI m/m,0.4%,0.4%,0.3%,https://www.forexfactory.com/calendar?month=nov.2016
20161117,8:30am,USD,3,CPI y/y,1.6%,1.6%,1.5%,https://www.forexfactory.com/calendar?month=nov.2016
20161214,8:30am,USD,3,PPI m/m,0.4%,0.1%,0.0%,https://www.forexfactory.com/calendar?month=dec.2016
20161215,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=dec.2016
20161215,8:30am,USD,3,CPI m/m,0.2%,0.2%,0.4%,https://www.forexfactory.com/calendar?month=dec.2016
20161215,8:30am,USD,3,CPI y/y,1.7%,1.7%,1.6%,https://www.forexfactory.com/calendar?month=dec.2016
20170113,8:30am,USD,3,PPI m/m,0.3%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=jan.2017
20170118,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jan.2017
20170118,8:30am,USD,3,CPI m/m,0.3%,0.3%,0.2%,https://www.forexfactory.com/calendar?month=jan.2017
20170118,8:30am,USD,3,CPI y/y,2.1%,2.1%,1.7%,https://www.forexfactory.com/calendar?month=jan.2017
20170214,8:30am,USD,3,PPI m/m,0.6%,0.3%,0.3%,https://www.forexfactory.com/calendar?month=feb.2017
20170215,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=feb.2017
20170215,8:30am,USD,3,CPI m/m,0.6%,0.3%,0.3%,https://www.forexfactory.com/calendar?month=feb.2017
20170215,8:30am,USD,3,CPI y/y,2.5%,2.4%,2.1%,https://www.forexfactory.com/calendar?month=feb.2017
20170314,8:30am,USD,3,PPI m/m,0.3%,0.1%,0.6%,https://www.forexfactory.com/calendar?month=mar.2017
20170315,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=mar.2017
20170315,8:30am,USD,3,CPI m/m,0.1%,0.0%,0.6%,https://www.forexfactory.com/calendar?month=mar.2017
20170315,8:30am,USD,3,CPI y/y,2.7%,2.7%,2.5%,https://www.forexfactory.com/calendar?month=mar.2017
20170413,8:30am,USD,3,PPI m/m,-0.1%,0.0%,0.3%,https://www.forexfactory.com/calendar?month=apr.2017
20170414,8:30am,USD,3,Core CPI m/m,-0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2017
20170414,8:30am,USD,3,CPI m/m,-0.3%,0.0%,0.1%,https://www.forexfactory.com/calendar?month=apr.2017
20170414,8:30am,USD,3,CPI y/y,2.4%,2.6%,2.7%,https://www.forexfactory.com/calendar?month=apr.2017
20170511,8:30am,USD,3,PPI m/m,0.5%,0.2%,-0.1%,https://www.forexfactory.com/calendar?month=may.2017
20170512,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,-0.1%,https://www.forexfactory.com/calendar?month=may.2017
20170512,8:30am,USD,3,CPI m/m,0.2%,0.3%,-0.3%,https://www.forexfactory.com/calendar?month=may.2017
20170512,8:30am,USD,3,CPI y/y,2.2%,2.3%,2.4%,https://www.forexfactory.com/calendar?month=may.2017
20170613,8:30am,USD,3,PPI m/m,0.0%,0.0%,0.5%,https://www.forexfactory.com/calendar?month=jun.2017
20170614,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jun.2017
20170614,8:30am,USD,3,CPI m/m,-0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2017
20170614,8:30am,USD,3,CPI y/y,1.9%,2.0%,2.2%,https://www.forexfactory.com/calendar?month=jun.2017
20170713,8:30am,USD,3,PPI m/m,0.1%,0.0%,0.0%,https://www.forexfactory.com/calendar?month=jul.2017
20170714,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jul.2017
20170714,8:30am,USD,3,CPI m/m,0.0%,0.1%,-0.1%,https://www.forexfactory.com/calendar?month=jul.2017
20170714,8:30am,USD,3,CPI y/y,1.6%,1.7%,1.9%,https://www.forexfactory.com/calendar?month=jul.2017
20170810,8:30am,USD,3,PPI m/m,-0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=aug.2017
20170811,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=aug.2017
20170811,8:30am,USD,3,CPI m/m,0.1%,0.2%,0.0%,https://www.forexfactory.com/calendar?month=aug.2017
20170811,8:30am,USD,3,CPI y/y,1.7%,1.8%,1.6%,https://www.forexfactory.com/calendar?month=aug.2017
20170913,8:30am,USD,3,PPI m/m,0.2%,0.3%,-0.1%,https://www.forexfactory.com/calendar?month=sep.2017
20170914,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=sep.2017
20170914,8:30am,USD,3,CPI m/m,0.4%,0.3%,0.1%,https://www.forexfactory.com/calendar?month=sep.2017
20170914,8:30am,USD,3,CPI y/y,1.9%,1.8%,1.7%,https://www.forexfactory.com/calendar?month=sep.2017
20171012,8:30am,USD,3,PPI m/m,0.4%,0.4%,0.2%,https://www.forexfactory.com/calendar?month=oct.2017
20171013,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=oct.2017
20171013,8:30am,USD,3,CPI m/m,0.5%,0.6%,0.4%,https://www.forexfactory.com/calendar?month=oct.2017
20171013,8:30am,USD,3,CPI y/y,2.2%,2.3%,1.9%,https://www.forexfactory.com/calendar?month=oct.2017
20171114,8:30am,USD,3,PPI m/m,0.4%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=nov.2017
20171115,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=nov.2017
20171115,8:30am,USD,3,CPI m/m,0.1%,0.1%,0.5%,https://www.forexfactory.com/calendar?month=nov.2017
20171115,8:30am,USD,3,CPI y/y,2.0%,2.0%,2.2%,https://www.forexfactory.com/calendar?month=nov.2017
20171212,8:30am,USD,3,PPI m/m,0.4%,0.4%,0.4%,https://www.forexfactory.com/calendar?month=dec.2017
20171213,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=dec.2017
20171213,8:30am,USD,3,CPI m/m,0.4%,0.4%,0.1%,https://www.forexfactory.com/calendar?month=dec.2017
20171213,8:30am,USD,3,CPI y/y,2.2%,2.2%,2.0%,https://www.forexfactory.com/calendar?month=dec.2017
20180111,8:30am,USD,3,PPI m/m,-0.1%,0.2%,0.4%,https://www.forexfactory.com/calendar?month=jan.2018
20180112,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jan.2018
20180112,8:30am,USD,3,CPI m/m,0.1%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=jan.2018
20180112,8:30am,USD,3,CPI y/y,2.1%,2.1%,2.2%,https://www.forexfactory.com/calendar?month=jan.2018
20180214,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=feb.2018
20180214,8:30am,USD,3,CPI m/m,0.5%,0.3%,0.1%,https://www.forexfactory.com/calendar?month=feb.2018
20180214,8:30am,USD,3,CPI y/y,2.1%,1.9%,2.1%,https://www.forexfactory.com/calendar?month=feb.2018
20180215,8:30am,USD,3,PPI m/m,0.4%,0.4%,-0.1%,https://www.forexfactory.com/calendar?month=feb.2018
20180313,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=mar.2018
20180313,8:30am,USD,3,CPI m/m,0.2%,0.2%,0.5%,https://www.forexfactory.com/calendar?month=mar.2018
20180313,8:30am,USD,3,CPI y/y,2.2%,2.2%,2.1%,https://www.forexfactory.com/calendar?month=mar.2018
20180314,8:30am,USD,3,PPI m/m,0.2%,0.1%,0.4%,https://www.forexfactory.com/calendar?month=mar.2018
20180410,8:30am,USD,3,PPI m/m,0.3%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=apr.2018
20180411,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=apr.2018
20180411,8:30am,USD,3,CPI m/m,-0.1%,0.0%,0.2%,https://www.forexfactory.com/calendar?month=apr.2018
20180411,8:30am,USD,3,CPI y/y,2.4%,2.4%,2.2%,https://www.forexfactory.com/calendar?month=apr.2018
