trade_date,code,name,fin_balance,fin_buy,fin_repay,sec_volume,sec_sell,sec_repay,exchange,sec_balance,margin_balance
20260420,517520,黄金股,223775389,24409720,14230426.0,0,0,0.0,SSE,,
20260420,517900,银行优选,10617581,281691,468743.0,0,0,0.0,SSE,,
20260420,518600,上海金,19777145,28674238,28187357.0,0,0,0.0,SSE,,
20260420,518660,工银黄金,41410948,32493661,34764141.0,0,0,0.0,SSE,,
20260420,518680,金ETF,44465351,22072048,20364028.0,0,0,0.0,SSE,,
20260420,518800,黄金基金,430019712,56690270,52908274.0,0,0,0.0,SSE,,
20260420,518850,黄金9999,137526987,53611805,53667381.0,0,0,0.0,SSE,,
20260420,518860,上海金E,2320430,2776926,3174586.0,0,0,0.0,SSE,,
20260420,518880,黄金ETF,6659768836,350814465,392026971.0,210000,800,0.0,SSE,,
20260420,518890,中银黄金,2313,29198,26885.0,0,0,0.0,SSE,,
20260420,520500,恒生新药,151306436,34191089,33828869.0,0,0,0.0,SSE,,
20260420,520550,红利恒生,26369361,1719936,1566425.0,0,0,0.0,SSE,,
20260420,520560,香港30,2214003,876652,776644.0,0,0,0.0,SSE,,
20260420,520570,科技恒指,23103548,4382563,4249460.0,0,0,0.0,SSE,,
20260420,520600,汽车港股,104037802,9885818,9421870.0,0,0,0.0,SSE,,
20260420,520660,港红利CS,6836103,3131548,2610154.0,0,0,0.0,SSE,,
20260420,520700,创新药WJ,24119243,4485263,1379331.0,0,0,0.0,SSE,,
20260420,520830,沙特ETF,37540742,12033661,1231343.0,0,0,0.0,SSE,,
20260420,520840,港科技,46620303,3072551,5361616.0,0,0,0.0,SSE,,
20260420,520860,港股通科,1184726,160372,709561.0,0,0,0.0,SSE,,
20260420,520870,巴西ETF,1940784,5363091,3422307.0,0,0,0.0,SSE,,
20260420,520880,港创新药,43655979,12054252,20101251.0,0,0,0.0,SSE,,
20260420,520900,红利香港,5751316,2742870,1886341.0,0,0,0.0,SSE,,
20260420,520910,HK互联,608292,608292,0.0,0,0,0.0,SSE,,
20260420,520920,恒生科TH,55226968,6449549,5409616.0,0,0,0.0,SSE,,
20260420,520970,港股通药,7192414,3910104,2039054.0,0,0,0.0,SSE,,
20260420,520980,港科技30,114198814,10919900,19483724.0,0,0,0.0,SSE,,
20260420,520990,国新红利,46070142,10940207,10810353.0,0,0,0.0,SSE,,
20260420,560010,1000基金,11512238,6543897,1618055.0,119220315,323100,1771790.0,SSE,,
20260420,560050,MSCIA50,2340485,1141642,1176820.0,0,0,0.0,SSE,,
20260420,560080,中药ETF,60799182,3068196,3697738.0,0,0,0.0,SSE,,
