Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,VIX,VIX_MA20,VIX_Ratio,VIX_Change_10D,VIX_Zscore,SPY,SPY_MA200,SPY_Trend,SPY_Return_20D,TNX,TNX_MA50,TNX_Change,IRX,Yield_Spread,Yield_Spread_MA50,Yield_Spread_Change_20D,HYG,IEF,LQD,HYG_IEF,HYG_IEF_MA50,HYG_IEF_Ratio,HYG_IEF_Change_20D,LQD_IEF,LQD_IEF_MA50,LQD_IEF_Ratio,LQD_IEF_Change_20D,DXY,DXY_MA50,DXY_Trend,DXY_Return_20D,MA20,MA60,MA120,52W_High,52W_Low,Position_52W
2011-05-10,XQQ.TO,7.102718830108643,7.1203789710998535,7.0956549644470215,7.1203789710998535,6.488968849182129,4813,0.0,0.0,15.90999984741211,,,,,135.8699951171875,,,,3.194999933242798,,,0.02500000037252903,3.169999932870269,,,92.62999725341797,94.88999938964844,110.44999694824219,0.9761829260115159,,,,1.1639793198301063,,,,74.61000061035156,,,,,,,,,
2011-05-11,XQQ.TO,7.127442836761475,7.127442836761475,7.042675971984863,7.053271770477295,6.427812576293945,5379,0.0,0.0,16.950000762939453,,,,,134.44000244140625,,,,3.1570000648498535,,,0.019999999552965164,3.1370000652968884,,,92.48999786376953,95.2300033569336,110.62999725341797,0.971227497673247,,,,1.1617136758754836,,,,75.33000183105469,,,,,,,,,
2011-05-12,XQQ.TO,7.053271770477295,7.053271770477295,7.053271770477295,7.053271770477295,6.427812576293945,1416,0.0,0.0,16.030000686645508,,,,,135.0800018310547,,,,3.2300000190734863,,,0.019999999552965164,3.210000019520521,,,92.58000183105469,95.0199966430664,110.37000274658203,0.9743212492294929,,,,1.1615450078489948,,,,75.23999786376953,,,,,,,,,
2011-05-13,XQQ.TO,7.092123031616211,7.092123031616211,7.046207904815674,7.046207904815674,6.421372413635254,5379,0.0,0.0,17.06999969482422,,,,,134.0399932861328,,,,3.187000036239624,,,0.019999999552965164,3.167000036686659,,,92.19999694824219,95.38999938964844,110.69999694824219,0.96655831364066,,,,1.160498979521486,,,,75.76000213623047,,,,,,,,,
2011-05-16,XQQ.TO,6.989696979522705,6.989696979522705,6.975570201873779,6.975570201873779,6.357000350952148,2548,0.0,0.0,18.239999771118164,,,,,133.19000244140625,,,,3.1489999294281006,,,0.019999999552965164,3.1289999298751354,,,92.37999725341797,95.62000274658203,111.0199966430664,0.966115818865317,,,,1.161054104310145,,,,75.47000122070312,,,,,,,,,
2011-05-17,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,1699,0.0,0.0,17.549999237060547,,,,,133.1699981689453,,,,3.121000051498413,,,0.03500000014901161,3.0860000513494015,,,92.54000091552734,95.9000015258789,111.16999816894531,0.9649634978426476,,,,1.1592283253399716,,,,75.4000015258789,,,,,,,,,
2011-05-18,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,0,0.0,0.0,16.229999542236328,,,,,134.36000061035156,,,,3.1710000038146973,,,0.03999999910593033,3.131000004708767,,,92.6500015258789,95.3499984741211,110.88999938964844,0.9716833037079178,,,,1.16297851247208,,,,75.47000122070312,,,,,,,,,
2011-05-19,XQQ.TO,6.975570201873779,6.975570201873779,6.975570201873779,6.975570201873779,6.357000350952148,566,0.0,0.0,15.520000457763672,,,,,134.67999267578125,,,,3.1710000038146973,,,0.03999999910593033,3.131000004708767,,,92.61000061035156,95.44999694824219,111.08000183105469,0.9702462396155904,,,,1.163750711184285,,,,75.12000274658203,,,,,,,,,
2011-05-20,XQQ.TO,6.993228912353516,6.993228912353516,6.950846195220947,6.950846195220947,6.334469795227051,5946,0.0,0.0,17.43000030517578,,,,,133.61000061035156,,,,3.1519999504089355,,,0.03999999910593033,3.111999951303005,,,92.54000091552734,95.68000030517578,111.0,0.9671822807312577,,,,1.1601170531559404,,,,75.43000030517578,,,,,,,,,
2011-05-24,XQQ.TO,6.883738994598389,6.883738994598389,6.82722806930542,6.82722806930542,6.22181510925293,3681,0.0,0.0,17.81999969482422,,,,,131.9499969482422,,,,3.122999906539917,,,0.05000000074505806,3.072999905794859,,,91.94999694824219,95.91000366210938,111.06999969482422,0.958711223410873,,,,1.158064805065835,,,,75.87999725341797,,,,,,,,,
