Date,Close,Prediction,Signal,Position,Future_Return_5D,Market_Return,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2012-05-09,7.749063014984131,,SELL,0,-0.010938859438668347,,,,
2012-05-10,7.73493480682373,,SELL,0,-0.04155250116913922,-0.0018232150303955086,-0.0,0.9981767849696045,1.0
2012-05-11,7.73140287399292,,SELL,0,-0.0557330744118929,-0.0004566208919684067,-0.0,0.9977209965957096,1.0
2012-05-14,7.674892902374268,,SELL,0,-0.024390296939805878,-0.007309148486976613,-0.0,0.9904285056830172,1.0
2012-05-15,7.632509231567383,,SELL,0,-0.013882519961225803,-0.005522379445030867,-0.0,0.9849589836614607,1.0
2012-05-16,7.664297103881836,,SELL,0,-0.02857148012131505,0.00416479972051409,0.0,0.9890611405613319,1.0
2012-05-17,7.413528919219971,,SELL,0,0.005240718048931559,-0.032719006226266334,-0.0,0.9567000429451475,1.0
2012-05-18,7.30050802230835,,SELL,0,0.02080308812219256,-0.015245222368878708,-0.0,0.9421149380501329,1.0
2012-05-22,7.48769998550415,,SELL,0,0.007075469445186444,0.025640950276856644,0.0,0.9662716603317603,1.0
2012-05-23,7.526550769805908,,SELL,0,-0.004223304885905499,0.0051886139104091455,0.0,0.9712852709097918,1.0
2012-05-24,7.445316791534424,,SELL,0,0.001423213494641029,-0.010792988814659843,-0.0,0.9608021998450186,1.0
2012-05-25,7.452381134033203,,SELL,0,-0.025118537753692327,0.0009488303448432767,0.0,0.9617138381276237,1.0
2012-05-28,7.452381134033203,,SELL,0,-0.026066468672914622,0.0,0.0,0.9617138381276237,1.0
2012-05-29,7.540678977966309,,SELL,0,-0.02529266881455927,0.011848272699026552,0.0,0.9731084859401873,1.0
2012-05-30,7.4947638511657715,,SELL,0,-0.0014137601534681687,-0.006088991049042147,-0.0,0.9671832370795506,1.0
2012-05-31,7.455913066864014,,SELL,0,0.010421533183641918,-0.005183723606677071,-0.0,0.9621696265015189,1.0
2012-06-01,7.265188217163086,,SELL,0,0.029168682698131443,-0.025580347838088158,-0.0,0.9375569927763667,1.0
2012-06-04,7.258123874664307,,SELL,0,0.035523236414232606,-0.000972355056416907,-0.0,0.9366453544937616,1.0
2012-06-05,7.349955081939697,,SELL,0,0.02162421070803755,0.012652196195761078,0.0,0.9484959752846649,1.0
2012-06-06,7.48416805267334,,SELL,0,-0.002359666547693706,0.018260379721698028,0.0,0.9658158719578652,1.0
2012-06-07,7.533615112304687,,SELL,0,-0.008907702294606357,0.006606887937756101,0.0,0.972196909192397,1.0
2012-06-08,7.477104187011719,,SELL,0,0.00897496171070733,-0.007501169684215547,-0.0,0.9649042952100749,1.0
2012-06-11,7.515955924987793,,SELL,0,0.018326997249478616,0.005196094237066129,0.0,0.9699180288577364,1.0
2012-06-12,7.508892059326172,,SELL,0,0.03010334223899358,-0.0009398492662970881,-0.0,0.9690064521099461,1.0
2012-06-13,7.466507911682129,,SELL,0,0.035477758202912435,-0.005644527489431783,-0.0,0.9635368685535747,1.0
2012-06-14,7.466507911682129,,SELL,0,0.008514725832176273,0.0,0.0,0.9635368685535747,1.0
2012-06-15,7.544210910797119,,SELL,0,0.0018727217899197068,0.01040687293633158,0.0,0.9735642743140825,1.0
2012-06-18,7.653700828552246,,SELL,0,-0.025380640452099645,0.014513104027676027,0.0,0.9876937139048317,1.0
2012-06-19,7.73493480682373,,SELL,0,-0.030136855575503163,0.010613686122723731,0.0,0.9981767849696049,1.0
2012-06-20,7.73140287399292,,SELL,0,-0.0264961104117466,-0.0004566208919684067,-0.0,0.99772099659571,1.0
2012-06-21,7.530083179473877,,SELL,0,-0.015009439435035854,-0.026039219246515644,-0.0,0.9717411208185023,1.0
