Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,MA20,MA60,52W_High,52W_Low,Position_52W
2011-05-10,XQQ.TO,7.102718830108643,7.1203789710998535,7.0956549644470215,7.1203789710998535,6.488967418670654,4813,0.0,0.0,,,,,
2011-05-11,XQQ.TO,7.127442836761475,7.127442836761475,7.042675971984863,7.053271770477295,6.427812099456787,5379,0.0,0.0,,,,,
2011-05-12,XQQ.TO,7.053271770477295,7.053271770477295,7.053271770477295,7.053271770477295,6.427812099456787,1416,0.0,0.0,,,,,
2011-05-13,XQQ.TO,7.092123031616211,7.092123031616211,7.046207904815674,7.046207904815674,6.4213762283325195,5379,0.0,0.0,,,,,
2011-05-16,XQQ.TO,6.989696979522705,6.989696979522705,6.975570201873779,6.975570201873779,6.357000827789307,2548,0.0,0.0,,,,,
2011-05-17,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,1699,0.0,0.0,,,,,
2011-05-18,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273312568664551,0,0.0,0.0,,,,,
2011-05-19,XQQ.TO,6.975570201873779,6.975570201873779,6.975570201873779,6.975570201873779,6.357000827789307,566,0.0,0.0,,,,,
2011-05-20,XQQ.TO,6.993228912353516,6.993228912353516,6.950846195220947,6.950846195220947,6.334467887878418,5946,0.0,0.0,,,,,
2011-05-24,XQQ.TO,6.883738994598389,6.883738994598389,6.82722806930542,6.82722806930542,6.221814155578613,3681,0.0,0.0,,,,,
2011-05-25,XQQ.TO,6.82722806930542,6.82722806930542,6.82722806930542,6.82722806930542,6.221814155578613,0,0.0,0.0,,,,,
2011-05-26,XQQ.TO,6.851952075958252,6.851952075958252,6.851952075958252,6.851952075958252,6.244345188140869,1416,0.0,0.0,,,,,
2011-05-27,XQQ.TO,6.897867202758789,6.911994934082031,6.897867202758789,6.908463001251221,6.295843601226807,4530,0.0,0.0,,,,,
2011-05-30,XQQ.TO,6.919058799743652,6.919058799743652,6.919058799743652,6.919058799743652,6.3054986000061035,1133,0.0,0.0,,,,,
2011-05-31,XQQ.TO,6.982633113861084,6.982633113861084,6.9649739265441895,6.9649739265441895,6.347343444824219,1699,0.0,0.0,,,,,
2011-06-01,XQQ.TO,6.97910213470459,6.97910213470459,6.97910213470459,6.97910213470459,6.360220432281494,1982,0.0,0.0,,,,,
2011-06-02,XQQ.TO,6.876675128936768,6.887270927429199,6.869612216949463,6.880207061767578,6.270092964172363,7078,0.0,0.0,,,,,
2011-06-03,XQQ.TO,6.781312942504883,6.781312942504883,6.781312942504883,6.781312942504883,6.179970741271973,113252,0.0,0.0,,,,,
2011-06-06,XQQ.TO,6.802505016326904,6.802505016326904,6.767186164855957,6.774249076843262,6.173532009124756,20102,0.0,0.0,,,,,
2011-06-07,XQQ.TO,6.728333950042725,6.731865882873535,6.717738151550293,6.717738151550293,6.122032165527344,4247,0.0,0.0,6.918705415725708,,,,
2011-06-08,XQQ.TO,6.685951232910156,6.685951232910156,6.64709997177124,6.668291091918945,6.07697057723999,13024,0.0,0.0,6.896101021766663,,,,
2011-06-09,XQQ.TO,6.668291091918945,6.668291091918945,6.668291091918945,6.668291091918945,6.07697057723999,0,0.0,0.0,6.876851987838745,,,,
2011-06-10,XQQ.TO,6.597652912139893,6.601184844970703,6.587057113647461,6.587057113647461,6.0029401779174805,3964,0.0,0.0,6.853541254997253,,,,
2011-06-13,XQQ.TO,6.594120979309082,6.594120979309082,6.594120979309082,6.594120979309082,6.0093770027160645,1416,0.0,0.0,6.830936908721924,,,,
2011-06-14,XQQ.TO,6.671823024749756,6.671823024749756,6.671823024749756,6.671823024749756,6.0801897048950195,14440,0.0,0.0,6.815749549865723,,,,
2011-06-15,XQQ.TO,6.622375965118408,6.622375965118408,6.548205852508545,6.548205852508545,5.967533111572266,6512,0.0,0.0,6.79897289276123,,,,
2011-06-16,XQQ.TO,6.523481845855713,6.534078121185303,6.523481845855713,6.534078121185303,5.9546589851379395,2831,0.0,0.0,6.781489849090576,,,,
2011-06-17,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.9546589851379395,0,0.0,0.0,6.759415245056152,,,,
2011-06-20,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.9546589851379395,0,0.0,0.0,6.73857684135437,,,,
2011-06-21,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.9546589851379395,0,0.0,0.0,6.723919343948364,,,,
2011-06-22,XQQ.TO,6.650631904602051,6.664759159088135,6.650631904602051,6.661227226257324,6.07053279876709,5096,0.0,0.0,6.715619301795959,,,,
2011-06-23,XQQ.TO,6.534078121185303,6.629439830780029,6.519949913024902,6.625907897949219,6.038345813751221,44168,0.0,0.0,6.704317092895508,,,,
2011-06-24,XQQ.TO,6.625907897949219,6.625907897949219,6.625907897949219,6.625907897949219,6.047372341156006,0,0.009889,0.0,6.690189337730407,,,,
2011-06-27,XQQ.TO,6.675354957580566,6.675354957580566,6.675354957580566,6.675354957580566,6.092500686645508,1416,0.0,0.0,6.678004145622253,,,,
2011-06-28,XQQ.TO,6.675354957580566,6.675354957580566,6.675354957580566,6.675354957580566,6.092500686645508,0,0.0,0.0,6.663523197174072,,,,
2011-06-29,XQQ.TO,6.788376808166504,6.788376808166504,6.7459940910339355,6.7459940910339355,6.156972885131836,12458,0.0,0.0,6.651867794990539,,,,
2011-06-30,XQQ.TO,6.820165157318115,6.841355800628662,6.820165157318115,6.841355800628662,6.244007587432861,1133,0.0,0.0,6.649925231933594,,,,
2011-07-04,XQQ.TO,6.841355800628662,6.841355800628662,6.841355800628662,6.841355800628662,6.244007587432861,0,0.0,0.0,6.652927374839782,,,,
2011-07-05,XQQ.TO,6.982633113861084,7.010889053344727,6.97910213470459,7.010889053344727,6.398737907409668,43036,0.0,0.0,6.664759373664856,,,,
2011-07-06,XQQ.TO,7.000292778015137,7.0285491943359375,7.000292778015137,7.0285491943359375,6.414855480194092,2548,0.0,0.0,6.680299925804138,,,,
2011-07-07,XQQ.TO,7.0285491943359375,7.0285491943359375,7.0285491943359375,7.0285491943359375,6.414855480194092,0,0.0,0.0,6.698312830924988,,,,
2011-07-08,XQQ.TO,7.063868045806885,7.092123031616211,7.063868045806885,7.081528186798096,6.4632086753845215,28879,0.0,0.0,6.718974685668945,,,,
2011-07-11,XQQ.TO,6.9861650466918945,6.9861650466918945,6.968505859375,6.968505859375,6.3600544929504395,1699,0.0,0.0,6.738047122955322,,,,
2011-07-12,XQQ.TO,6.961441993713379,6.9649739265441895,6.961441993713379,6.9649739265441895,6.356830596923828,3398,0.0,0.0,6.756589770317078,,,,
2011-07-13,XQQ.TO,6.9649739265441895,6.9649739265441895,6.9649739265441895,6.9649739265441895,6.356830596923828,0,0.0,0.0,6.771247315406799,,,,
2011-07-14,XQQ.TO,6.993228912353516,6.993228912353516,6.876675128936768,6.887270927429199,6.285914421081543,3681,0.0,0.0,6.788200569152832,,,,
2011-07-15,XQQ.TO,6.887270927429199,6.887270927429199,6.887270927429199,6.887270927429199,6.285914421081543,0,0.0,0.0,6.805860209465027,,,,
2011-07-18,XQQ.TO,6.961441993713379,6.961441993713379,6.90493106842041,6.90493106842041,6.302031993865967,1699,0.0,0.0,6.824402856826782,,,,
2011-07-19,XQQ.TO,7.042675971984863,7.053271770477295,7.042675971984863,7.053271770477295,6.437419414520264,5379,0.0,0.0,6.850362539291382,,,,
