Date,Symbol,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,VIX,VIX_MA20,VIX_Ratio,VIX_Change_10D,VIX_Zscore,SPY,SPY_MA200,SPY_Trend,SPY_Return_20D,MA20,MA60,52W_High,52W_Low,Position_52W
2011-05-10,XQQ.TO,7.102718830108643,7.1203789710998535,7.0956549644470215,7.1203789710998535,6.488969802856445,4813,0.0,0.0,15.90999984741211,,,,,135.8699951171875,,,,,,,,
2011-05-11,XQQ.TO,7.127442836761475,7.127442836761475,7.042675971984863,7.053271770477295,6.427812099456787,5379,0.0,0.0,16.950000762939453,,,,,134.44000244140625,,,,,,,,
2011-05-12,XQQ.TO,7.053271770477295,7.053271770477295,7.053271770477295,7.053271770477295,6.427812099456787,1416,0.0,0.0,16.030000686645508,,,,,135.0800018310547,,,,,,,,
2011-05-13,XQQ.TO,7.092123031616211,7.092123031616211,7.046207904815674,7.046207904815674,6.421375274658203,5379,0.0,0.0,17.06999969482422,,,,,134.0399932861328,,,,,,,,
2011-05-16,XQQ.TO,6.989696979522705,6.989696979522705,6.975570201873779,6.975570201873779,6.357000350952148,2548,0.0,0.0,18.239999771118164,,,,,133.19000244140625,,,,,,,,
2011-05-17,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273311614990234,1699,0.0,0.0,17.549999237060547,,,,,133.1699981689453,,,,,,,,
2011-05-18,XQQ.TO,6.883738994598389,6.883738994598389,6.883738994598389,6.883738994598389,6.273311614990234,0,0.0,0.0,16.229999542236328,,,,,134.36000061035156,,,,,,,,
2011-05-19,XQQ.TO,6.975570201873779,6.975570201873779,6.975570201873779,6.975570201873779,6.357000350952148,566,0.0,0.0,15.520000457763672,,,,,134.67999267578125,,,,,,,,
2011-05-20,XQQ.TO,6.993228912353516,6.993228912353516,6.950846195220947,6.950846195220947,6.334468841552734,5946,0.0,0.0,17.43000030517578,,,,,133.61000061035156,,,,,,,,
2011-05-24,XQQ.TO,6.883738994598389,6.883738994598389,6.82722806930542,6.82722806930542,6.221813678741455,3681,0.0,0.0,17.81999969482422,,,,,131.9499969482422,,,,,,,,
2011-05-25,XQQ.TO,6.82722806930542,6.82722806930542,6.82722806930542,6.82722806930542,6.221813678741455,0,0.0,0.0,17.06999969482422,,,0.07291011053031493,,132.38999938964844,,,,,,,,
2011-05-26,XQQ.TO,6.851952075958252,6.851952075958252,6.851952075958252,6.851952075958252,6.2443437576293945,1416,0.0,0.0,16.09000015258789,,,-0.05073749685203088,,133.0,,,,,,,,
2011-05-27,XQQ.TO,6.897867202758789,6.911994934082031,6.897867202758789,6.908463001251221,6.295845031738281,4530,0.0,0.0,15.979999542236328,,,-0.003119222848869563,,133.50999450683594,,,,,,,,
2011-05-30,XQQ.TO,6.919058799743652,6.919058799743652,6.919058799743652,6.919058799743652,6.305500507354736,1133,0.0,0.0,15.979999542236328,,,-0.0638547259563449,,133.50999450683594,,,,,,,,
2011-05-31,XQQ.TO,6.982633113861084,6.982633113861084,6.9649739265441895,6.9649739265441895,6.347344875335693,1699,0.0,0.0,15.449999809265137,,,-0.15296052614380007,,134.89999389648438,,,,,,,,
2011-06-01,XQQ.TO,6.97910213470459,6.97910213470459,6.97910213470459,6.97910213470459,6.360219478607178,1982,0.0,0.0,18.299999237060547,,,0.04273504459283495,,131.8699951171875,,,,,,,,
2011-06-02,XQQ.TO,6.876675128936768,6.887270927429199,6.869612216949463,6.880207061767578,6.2700934410095215,7078,0.0,0.0,18.09000015258789,,,0.1146026286390931,,131.72999572753906,,,,,,,,
2011-06-03,XQQ.TO,6.781312942504883,6.781312942504883,6.781312942504883,6.781312942504883,6.179969310760498,113252,0.0,0.0,17.950000762939453,,,0.1565721799937323,,130.4199981689453,,,,,,,,
2011-06-06,XQQ.TO,6.802505016326904,6.802505016326904,6.767186164855957,6.774249076843262,6.173532009124756,20102,0.0,0.0,18.489999771118164,,,0.06081465561579025,,129.0399932861328,,,,,,,,
2011-06-07,XQQ.TO,6.728333950042725,6.731865882873535,6.717738151550293,6.717738151550293,6.122030735015869,4247,0.0,0.0,18.06999969482422,17.01099991798401,1.0622538229349257,0.014029180936103502,,128.9600067138672,,,,6.918705415725708,,,,
2011-06-08,XQQ.TO,6.685951232910156,6.685951232910156,6.64709997177124,6.668291091918945,6.076970100402832,13024,0.0,0.0,18.790000915527344,17.15499997138977,1.0953075457222001,0.10076164331887161,,128.4199981689453,,,-0.05483180404780752,6.896101021766663,,,,
2011-06-09,XQQ.TO,6.668291091918945,6.668291091918945,6.668291091918945,6.668291091918945,6.076970100402832,0,0.0,0.0,17.770000457763672,17.195999956130983,1.0333798850370453,0.1044126966590222,,129.39999389648438,,,-0.037488905484946655,6.876851987838745,,,,
2011-06-10,XQQ.TO,6.597652912139893,6.601184844970703,6.587057113647461,6.587057113647461,6.002938747406006,3964,0.0,0.0,18.860000610351562,17.337499952316286,1.0878154671793883,0.18022535360549785,,127.5999984741211,,,-0.05537461693470269,6.853541254997253,,,,
2011-06-13,XQQ.TO,6.594120979309082,6.594120979309082,6.594120979309082,6.594120979309082,6.009377479553223,1416,0.0,0.0,19.610000610351562,17.464499998092652,1.1228492434649275,0.22715902203381622,,127.69999694824219,,,-0.0472992886858532,6.830936908721924,,,,
2011-06-14,XQQ.TO,6.671823024749756,6.671823024749756,6.671823024749756,6.671823024749756,6.0801897048950195,14440,0.0,0.0,18.260000228881836,17.465500020980834,1.045489691503054,0.1818770520587052,,129.32000732421875,,,-0.02905619826000083,6.815749549865723,,,,
2011-06-15,XQQ.TO,6.622375965118408,6.622375965118408,6.548205852508545,6.548205852508545,5.967532634735107,6512,0.0,0.0,21.31999969482422,17.65400004386902,1.2076583007729373,0.1650273542988825,,127.0199966430664,,,-0.04618158451933552,6.79897289276123,,,,
2011-06-16,XQQ.TO,6.523481845855713,6.534078121185303,6.523481845855713,6.534078121185303,5.954658508300781,2831,0.0,0.0,22.729999542236328,17.979000043869018,1.264252710761155,0.25649526536817935,,127.30000305175781,,,-0.05254538200746195,6.781489849090576,,,,
2011-06-17,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954658508300781,0,0.0,0.0,21.850000381469727,18.29550004005432,1.1942827653594348,0.21727016449951497,,127.05000305175781,,,-0.056652732692013985,6.759415245056152,,,,
2011-06-20,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954658508300781,0,0.0,0.0,19.989999771118164,18.42350001335144,1.0850272617380785,0.0811249334001094,,127.69999694824219,,,-0.044233243283523294,6.73857684135437,,,,
2011-06-21,XQQ.TO,6.534078121185303,6.534078121185303,6.534078121185303,6.534078121185303,5.954658508300781,0,0.0,0.0,18.860000610351562,18.475500059127807,1.0208113745226501,0.04371892246094622,,129.4499969482422,,,-0.018946571108907517,6.723919343948364,,,,
