Date,Close,TTM_EPS,PE_TTM
2020-01-02,72.40052795410156,,
2020-01-03,71.6966323852539,,
2020-01-06,72.26792907714844,,
2020-01-07,71.92804718017578,,
2020-01-08,73.08511352539062,,
2020-01-09,74.63751220703125,,
2020-01-10,74.8062515258789,,
2020-01-13,76.4044189453125,,
2020-01-14,75.37271881103516,,
2020-01-15,75.0497055053711,,
2020-01-16,75.98980712890625,,
2020-01-17,76.83108520507812,,
2020-01-21,76.31041717529297,,
2020-01-22,76.58280944824219,,
2020-01-23,76.95162963867188,,
2020-01-24,76.72984313964844,,
2020-01-27,74.47357177734375,,
2020-01-28,76.58038330078125,,
2020-01-29,78.18339538574219,,
2020-01-30,78.0700912475586,,
2020-01-31,74.60857391357422,,
2020-02-03,74.4036865234375,,
2020-02-04,76.86002349853516,,
2020-02-05,77.48676300048828,,
2020-02-06,78.39310455322266,,
2020-02-07,77.32752990722656,,
2020-02-10,77.69481658935547,,
2020-02-11,77.2260513305664,,
2020-02-12,79.06001281738281,,
2020-02-13,78.49699401855469,,
2020-02-14,78.51634216308594,,
2020-02-18,77.07865905761719,,
2020-02-19,78.1949691772461,,
2020-02-20,77.39277648925781,,
2020-02-21,75.6409912109375,,
2020-02-24,72.04802703857422,,
2020-02-25,69.60759735107422,,
2020-02-26,70.71183013916016,,
2020-02-27,66.08951568603516,,
2020-02-28,66.05085754394531,,
2020-03-02,72.20023345947266,,
2020-03-03,69.90721893310547,,
2020-03-04,73.14984130859375,,
2020-03-05,70.77706909179688,,
2020-03-06,69.83711242675781,,
2020-03-09,64.3135757446289,,
2020-03-10,68.94556427001953,,
2020-03-11,66.55103302001953,,
2020-03-12,59.97879409790039,,
2020-03-13,67.16475677490234,,
2020-03-16,58.52421569824219,,
2020-03-17,61.097530364990234,,
2020-03-18,59.601863861083984,,
2020-03-19,59.14519119262695,,
2020-03-20,55.39033126831055,,
2020-03-23,54.21360397338867,,
2020-03-24,59.65260696411133,,
2020-03-25,59.32400131225586,,
2020-03-26,62.44579315185547,,
2020-03-27,59.860408782958984,,
2020-03-30,61.568702697753906,,
2020-03-31,61.443050384521484,,
2020-04-01,58.210105895996094,,
2020-04-02,59.181434631347656,,
2020-04-03,58.330909729003906,,
2020-04-06,63.4195556640625,,
2020-04-07,62.68500900268555,,
2020-04-08,64.28939819335938,,
2020-04-09,64.7533187866211,,
2020-04-13,66.02427673339844,,
2020-04-14,69.35872650146484,,
2020-04-15,68.72566223144531,,
2020-04-16,69.27173614501953,,
2020-04-17,68.33180236816406,,
2020-04-20,66.91346740722656,,
2020-04-21,64.84517669677734,,
2020-04-22,66.7129135131836,,
2020-04-23,66.45438385009766,,
2020-04-24,68.37290954589844,,
2020-04-27,68.42121887207031,,
2020-04-28,67.3121337890625,,
2020-04-29,69.52302551269531,,
2020-04-30,70.98970031738281,,
2020-05-01,69.84679412841797,,
2020-05-04,70.83505249023438,,
2020-05-05,71.8982162475586,,
2020-05-06,72.63999938964844,,
2020-05-07,73.39144897460938,,
2020-05-08,75.13832092285156,,
2020-05-11,76.32062530517578,,
2020-05-12,75.44841003417969,,
2020-05-13,74.53742980957031,,
2020-05-14,74.995361328125,,
2020-05-15,74.5519790649414,,
2020-05-18,76.3084945678711,,
2020-05-19,75.86756134033203,,
2020-05-20,77.34306335449219,,
2020-05-21,76.76641082763672,,
2020-05-22,77.26067352294922,,
2020-05-26,76.73735809326172,,
2020-05-27,77.0716781616211,,
2020-05-28,77.10560607910156,,
2020-05-29,77.03050231933594,,
2020-06-01,77.9778060913086,,
2020-06-02,78.33879852294922,,
2020-06-03,78.77008819580078,,
2020-06-04,78.0916976928711,,
2020-06-05,80.31584167480469,,
2020-06-08,80.79067993164062,,
2020-06-09,83.34190368652344,,
2020-06-10,85.48607635498047,,
2020-06-11,81.38185119628906,,
2020-06-12,82.08447265625,,
2020-06-15,83.099609375,,
2020-06-16,85.30192565917969,,
2020-06-17,85.18321228027344,,
2020-06-18,85.2171401977539,,
2020-06-19,84.73015594482422,,
2020-06-22,86.9469985961914,,
2020-06-23,88.8028793334961,,
2020-06-24,87.23534393310547,,
2020-06-25,88.39342498779297,,
2020-06-26,85.677490234375,,
2020-06-29,87.65206146240234,,
2020-06-30,88.38374328613281,,
2020-07-01,88.21656799316406,,
2020-07-02,88.21656799316406,,
2020-07-06,90.57637023925781,,
2020-07-07,90.29533386230469,,
2020-07-08,92.39830780029297,,
2020-07-09,92.79566955566406,,
2020-07-10,92.9579849243164,,
2020-07-13,92.52913665771484,,
2020-07-14,94.06037139892578,,
2020-07-15,94.70726013183594,,
2020-07-16,93.54188537597656,,
2020-07-17,93.35292053222656,,
2020-07-20,95.3202133178711,,
2020-07-21,94.0046157836914,,
2020-07-22,94.26872253417969,,
2020-07-23,89.97795104980469,,
2020-07-24,89.75502014160156,,
2020-07-27,91.88225555419922,,
2020-07-28,90.37284851074219,,
2020-07-29,92.10517120361328,,
2020-07-30,93.21965789794922,,
2020-07-31,102.97869110107422,,
2020-08-03,105.57350158691406,,
2020-08-04,106.2785415649414,,
2020-08-05,106.66376495361328,,
2020-08-06,110.38517761230469,,
2020-08-07,107.87548828125,,
2020-08-10,109.44343566894531,,
2020-08-11,106.18860626220703,,
2020-08-12,109.71772766113281,,
2020-08-13,111.6594467163086,,
2020-08-14,111.55992889404297,,
2020-08-17,111.2686538696289,,
2020-08-18,112.19584655761719,,
2020-08-19,112.33663177490234,,
2020-08-20,114.82933044433594,,
2020-08-21,120.74676513671875,,
2020-08-24,122.19093322753906,,
2020-08-25,121.18849182128906,,
2020-08-26,122.8365707397461,,
2020-08-27,121.36811828613281,,
2020-08-28,121.1715316772461,,
2020-08-31,125.28070831298828,,
2020-09-01,130.27090454101562,,
2020-09-02,127.57196044921875,,
2020-09-03,117.35843658447266,,
2020-09-04,117.43610382080078,,
2020-09-08,109.53325653076172,,
2020-09-09,113.90216827392578,,
2020-09-10,110.18373107910156,,
2020-09-11,108.73712921142578,,
2020-09-14,111.99925231933594,,
2020-09-15,112.17401123046875,,
2020-09-16,108.86334991455078,,
2020-09-17,107.12549591064453,,
2020-09-18,103.72745513916016,,
2020-09-21,106.8730697631836,,
2020-09-22,108.55267333984375,,
2020-09-23,103.99929809570312,,
2020-09-24,105.0672378540039,,
2020-09-25,109.00896453857422,,
2020-09-28,111.61091613769531,,
2020-09-29,110.76625061035156,,
2020-09-30,112.43614959716797,,
2020-10-01,113.3875961303711,,
2020-10-02,109.7274169921875,,
2020-10-05,113.10604858398438,,
2020-10-06,109.86334991455078,,
2020-10-07,111.7274169921875,,
2020-10-08,111.62062072753906,,
2020-10-09,113.5623550415039,,
2020-10-12,120.77587890625,,
2020-10-13,117.57202911376953,,
2020-10-14,117.6594009399414,,
2020-10-15,117.19340515136719,,
2020-10-16,115.5526123046875,,
2020-10-19,112.6011962890625,,
2020-10-20,114.08661651611328,,
2020-10-21,113.46528625488281,,
2020-10-22,112.37788391113281,,
2020-10-23,111.68856811523438,,
2020-10-26,111.69827270507812,,
